,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-07-11,1.062124248496994,0.9819639278557114,1.122244488977956,6270.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-12,1.062124248496994,0.9819639278557114,1.122244488977956,6308.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-13,1.002004008016032,0.9218436873747494,1.062124248496994,6198.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-14,0.9619238476953907,0.8817635270541082,1.0420841683366733,6125.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-15,0.9018036072144289,0.8216432865731462,0.9819639278557114,5956.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-16,0.9018036072144289,0.8216432865731462,0.9819639278557114,5864.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-17,0.9619238476953907,0.8817635270541082,1.0420841683366733,5978.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-18,1.0821643286573146,1.0220440881763526,1.1623246492985972,6270.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-19,1.1623246492985972,1.1022044088176353,1.2424849699398797,6465.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-20,1.1422845691382766,1.062124248496994,1.222444889779559,6503.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-21,1.0420841683366733,0.9619238476953907,1.122244488977956,6425.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-22,0.9619238476953907,0.9018036072144289,1.0420841683366733,6352.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-23,1.002004008016032,0.9218436873747494,1.0821643286573146,6505.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-24,1.0420841683366733,0.9819639278557114,1.122244488977956,6601.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-25,1.0821643286573146,1.002004008016032,1.1623246492985972,6661.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-26,1.062124248496994,1.002004008016032,1.1422845691382766,6774.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-27,1.0220440881763526,0.9619238476953907,1.1022044088176353,6716.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-28,1.002004008016032,0.9218436873747494,1.062124248496994,6635.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-29,0.9218436873747494,0.8617234468937875,1.002004008016032,6486.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-30,0.9018036072144289,0.8416833667334669,0.9819639278557114,6356.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-31,0.9619238476953907,0.9018036072144289,1.0420841683366733,6511.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-01,1.122244488977956,1.062124248496994,1.2024048096192383,6967.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-02,1.2024048096192383,1.122244488977956,1.2625250501002003,7107.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-03,1.1422845691382766,1.0821643286573146,1.222444889779559,7109.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-04,0.9819639278557114,0.9218436873747494,1.062124248496994,6900.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-05,0.9018036072144289,0.8416833667334669,0.9819639278557114,6748.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-06,0.8416833667334669,0.7615230460921844,0.9018036072144289,6461.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-07,0.8216432865731462,0.7414829659318637,0.9018036072144289,6221.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-08,0.8016032064128256,0.721442885771543,0.8617234468937875,6005.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-09,0.8817635270541082,0.8016032064128256,0.9619238476953907,6032.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-10,0.9619238476953907,0.8817635270541082,1.0220440881763526,6066.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-11,1.002004008016032,0.9418837675350701,1.0821643286573146,6045.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-12,0.9819639278557114,0.9018036072144289,1.062124248496994,5969.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-13,1.002004008016032,0.9218436873747494,1.062124248496994,6039.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-14,0.9819639278557114,0.9018036072144289,1.062124248496994,6000.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-15,1.0220440881763526,0.9619238476953907,1.1022044088176353,6065.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-16,1.0220440881763526,0.9418837675350701,1.0821643286573146,6086.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-17,0.9418837675350701,0.8617234468937875,1.0220440881763526,5795.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-18,0.8416833667334669,0.7615230460921844,0.9218436873747494,5524.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-19,0.781563126252505,0.7014028056112224,0.8617234468937875,5383.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-20,0.8416833667334669,0.7615230460921844,0.9218436873747494,5296.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-21,0.9619238476953907,0.8817635270541082,1.0420841683366733,5396.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
