,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-05-29,0.8016032064128256,0.5410821643286573,1.062124248496994,500.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-30,0.8216432865731462,0.561122244488978,1.1022044088176353,482.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-31,0.8416833667334669,0.561122244488978,1.1022044088176353,468.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-01,0.8216432865731462,0.5410821643286573,1.0821643286573146,450.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-02,0.7615230460921844,0.48096192384769537,1.0420841683366733,421.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-03,0.6212424849699398,0.3406813627254509,0.9018036072144289,375.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-04,0.42084168336673344,0.12024048096192384,0.721442885771543,320.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-05,0.4609218436873747,0.1402805611222445,0.781563126252505,313.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-06,0.6212424849699398,0.280561122244489,0.9418837675350701,303.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-07,0.8617234468937875,0.5210420841683366,1.1823647294589177,295.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-08,0.9218436873747494,0.5811623246492986,1.2625250501002003,301.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-09,0.9418837675350701,0.6012024048096192,1.282565130260521,294.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-10,0.9018036072144289,0.5410821643286573,1.2424849699398797,278.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-11,0.9418837675350701,0.5811623246492986,1.282565130260521,290.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-12,0.7615230460921844,0.4008016032064128,1.122244488977956,256.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-13,0.9218436873747494,0.561122244488978,1.2625250501002003,265.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-14,0.9418837675350701,0.5811623246492986,1.3026052104208417,281.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-15,1.2024048096192383,0.8416833667334669,1.5430861723446894,287.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-16,1.1022044088176353,0.7615230460921844,1.4629258517034067,283.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-17,1.0821643286573146,0.721442885771543,1.4228456913827654,294.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-18,1.0220440881763526,0.6813627254509018,1.3627254509018036,291.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-19,0.8416833667334669,0.48096192384769537,1.1823647294589177,256.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-20,0.6012024048096192,0.24048096192384769,0.9619238476953907,233.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-21,0.42084168336673344,0.08016032064128256,0.8016032064128256,210.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-22,0.5410821643286573,0.1402805611222445,0.9218436873747494,196.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-23,0.5811623246492986,0.16032064128256512,0.9819639278557114,183.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-24,1.002004008016032,0.5811623246492986,1.4228456913827654,211.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
