,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-08-16,1.1022044088176353,0.7615230460921844,1.442885771543086,312.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-17,0.9218436873747494,0.5811623246492986,1.2625250501002003,292.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-18,0.7014028056112224,0.3607214428857715,1.0420841683366733,263.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-19,0.5811623246492986,0.22044088176352705,0.9418837675350701,245.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-20,0.6813627254509018,0.32064128256513025,1.062124248496994,246.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-21,0.9218436873747494,0.5410821643286573,1.3026052104208417,253.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-22,1.1022044088176353,0.721442885771543,1.4629258517034067,259.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-23,1.0821643286573146,0.7014028056112224,1.442885771543086,257.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-24,0.9418837675350701,0.561122244488978,1.3026052104208417,244.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-25,0.721442885771543,0.3406813627254509,1.1022044088176353,220.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-26,0.5811623246492986,0.2004008016032064,0.9819639278557114,202.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-27,0.501002004008016,0.1002004008016032,0.9018036072144289,182.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
