,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-08-16,1.0420841683366733,0.8216432865731462,1.2625250501002003,713.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-17,1.0420841683366733,0.8216432865731462,1.2625250501002003,714.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-18,1.002004008016032,0.781563126252505,1.222444889779559,708.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-19,0.9619238476953907,0.7414829659318637,1.1823647294589177,695.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-20,0.9218436873747494,0.7014028056112224,1.1422845691382766,683.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-21,0.9619238476953907,0.7414829659318637,1.1823647294589177,694.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-22,1.062124248496994,0.8416833667334669,1.282565130260521,724.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-23,1.1422845691382766,0.9218436873747494,1.3627254509018036,741.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-24,1.1022044088176353,0.9018036072144289,1.3226452905811623,741.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-25,1.062124248496994,0.8416833667334669,1.2625250501002003,747.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-26,0.9819639278557114,0.7615230460921844,1.2024048096192383,735.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-27,1.002004008016032,0.781563126252505,1.2024048096192383,738.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-28,0.9619238476953907,0.7414829659318637,1.1823647294589177,731.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-29,1.002004008016032,0.781563126252505,1.2024048096192383,732.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-30,1.0220440881763526,0.8016032064128256,1.2424849699398797,746.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-31,1.0220440881763526,0.8016032064128256,1.222444889779559,737.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-01,0.9218436873747494,0.7014028056112224,1.1422845691382766,700.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-09-02,0.8016032064128256,0.5811623246492986,1.0220440881763526,665.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
