,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-05-16,0.9418837675350701,0.8216432865731462,1.0420841683366733,2899.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-17,0.9018036072144289,0.781563126252505,1.002004008016032,2766.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-18,0.781563126252505,0.6613226452905812,0.9018036072144289,2573.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-19,0.7414829659318637,0.6212424849699398,0.8416833667334669,2488.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-20,0.781563126252505,0.6613226452905812,0.9018036072144289,2440.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-21,0.9218436873747494,0.8016032064128256,1.0420841683366733,2472.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-22,0.9819639278557114,0.8617234468937875,1.1022044088176353,2464.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-23,0.9819639278557114,0.8617234468937875,1.1022044088176353,2408.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-24,0.8817635270541082,0.7615230460921844,0.9819639278557114,2294.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-25,0.721442885771543,0.6012024048096192,0.8416833667334669,2098.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-26,0.5811623246492986,0.4408817635270541,0.7014028056112224,1877.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-27,0.5210420841683366,0.3807615230460922,0.6412825651302605,1738.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-28,0.5811623246492986,0.4408817635270541,0.721442885771543,1649.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-29,0.721442885771543,0.5811623246492986,0.8817635270541082,1612.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-30,0.8216432865731462,0.6813627254509018,0.9819639278557114,1579.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-31,0.8617234468937875,0.721442885771543,1.0220440881763526,1527.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-01,0.8416833667334669,0.6813627254509018,0.9819639278557114,1469.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-02,0.8016032064128256,0.6613226452905812,0.9619238476953907,1416.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-03,0.8016032064128256,0.6412825651302605,0.9418837675350701,1356.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-04,0.8016032064128256,0.6412825651302605,0.9619238476953907,1311.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-05,0.8216432865731462,0.6613226452905812,0.9819639278557114,1280.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-06,0.8416833667334669,0.6813627254509018,1.002004008016032,1242.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-07,0.8016032064128256,0.6412825651302605,0.9819639278557114,1172.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-08,0.721442885771543,0.561122244488978,0.9018036072144289,1094.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-09,0.6813627254509018,0.501002004008016,0.8617234468937875,1036.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-10,0.7414829659318637,0.561122244488978,0.9218436873747494,1015.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-11,0.8617234468937875,0.6613226452905812,1.0420841683366733,1006.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-12,0.9819639278557114,0.781563126252505,1.1623246492985972,1020.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-13,1.0420841683366733,0.8617234468937875,1.222444889779559,1039.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-14,1.0420841683366733,0.8617234468937875,1.2424849699398797,1037.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-15,0.9819639278557114,0.8016032064128256,1.1623246492985972,1011.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-16,0.9218436873747494,0.7414829659318637,1.1022044088176353,991.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-17,0.8817635270541082,0.7014028056112224,1.0821643286573146,973.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-18,0.9418837675350701,0.7615230460921844,1.122244488977956,979.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-19,0.9819639278557114,0.8016032064128256,1.1623246492985972,982.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-20,0.9819639278557114,0.8016032064128256,1.1623246492985972,963.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-21,0.9018036072144289,0.721442885771543,1.1022044088176353,929.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-22,0.8216432865731462,0.6412825651302605,1.0220440881763526,890.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-23,0.781563126252505,0.5811623246492986,0.9819639278557114,851.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-24,0.781563126252505,0.5811623246492986,0.9819639278557114,820.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-25,0.781563126252505,0.5811623246492986,0.9819639278557114,787.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
