,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-08-31,1.0420841683366733,1.0220440881763526,1.062124248496994,42326.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-01,1.002004008016032,0.9819639278557114,1.0420841683366733,42271.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-02,0.9418837675350701,0.9218436873747494,0.9619238476953907,41303.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-03,0.9418837675350701,0.9018036072144289,0.9619238476953907,40764.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-04,0.9619238476953907,0.9418837675350701,0.9819639278557114,41330.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-05,1.0220440881763526,1.002004008016032,1.0420841683366733,41796.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-06,1.0420841683366733,1.0220440881763526,1.0821643286573146,41949.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-07,0.9819639278557114,0.9418837675350701,1.002004008016032,40658.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-08,0.8416833667334669,0.8016032064128256,0.8617234468937875,37957.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-09,0.721442885771543,0.7014028056112224,0.7615230460921844,35872.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-10,0.6813627254509018,0.6613226452905812,0.721442885771543,33908.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-11,0.781563126252505,0.7414829659318637,0.8016032064128256,33369.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-12,0.9018036072144289,0.8817635270541082,0.9418837675350701,33963.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-13,1.0821643286573146,1.0420841683366733,1.1022044088176353,35496.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-14,1.1823647294589177,1.1623246492985972,1.222444889779559,37096.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-15,1.2024048096192383,1.1823647294589177,1.2424849699398797,38360.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-16,1.1422845691382766,1.122244488977956,1.1623246492985972,38557.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-17,1.0821643286573146,1.062124248496994,1.122244488977956,39095.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-18,1.0420841683366733,1.0220440881763526,1.0821643286573146,39445.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-19,1.0821643286573146,1.062124248496994,1.1022044088176353,40472.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-20,1.1022044088176353,1.062124248496994,1.122244488977956,41325.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-21,1.1623246492985972,1.1422845691382766,1.2024048096192383,43413.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-22,1.122244488977956,1.1022044088176353,1.1623246492985972,43655.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-23,1.0821643286573146,1.062124248496994,1.1022044088176353,43437.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-24,0.9819639278557114,0.9619238476953907,1.002004008016032,43012.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-09-25,1.002004008016032,0.9619238476953907,1.0220440881763526,43597.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
