,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-05-10,1.122244488977956,0.06012024048096192,3.1462925851703405,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-11,0.9819639278557114,0.04008016032064128,2.9859719438877756,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-12,1.1623246492985972,0.06012024048096192,3.3266533066132262,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-13,1.1823647294589177,0.06012024048096192,3.406813627254509,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-14,1.4028056112224447,0.08016032064128256,3.74749498997996,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-15,1.2024048096192383,0.06012024048096192,3.4869739478957915,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-16,1.222444889779559,0.06012024048096192,3.5871743486973946,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-17,1.2424849699398797,0.06012024048096192,3.7074148296593186,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-18,1.282565130260521,0.06012024048096192,3.8276553106212425,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-19,1.3226452905811623,0.06012024048096192,3.967935871743487,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-20,1.3627254509018036,0.06012024048096192,4.148296593186372,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-21,2.124248496993988,0.12024048096192384,5.210420841683367,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-22,1.6432865731462925,0.08016032064128256,4.529058116232465,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-23,1.6432865731462925,0.08016032064128256,4.529058116232465,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
